Company,Job Role,Skills Needed
Dropbox,Build Engineer,"UX Research, Go, Computer Vision, Figma, TensorFlow, GraphQL, Growth Hacking, Distributed Systems"
InMobi,Speech Recognition Engineer,"Encryption, Testing, Next.js, NLP, Python, Prototyping"
KPMG India,Search Relevance Engineer,"Smart Contracts, TensorFlow, Shell Scripting, Next.js, Growth Hacking, Kanban, Cybersecurity, Agile, CI/CD"
Zoho,AdTech Optimization Specialist,"NoSQL, Next.js, Node.js, System Design, Terraform, C++, Azure, Linux, PyTorch, Docker, Scrum, Agile"
Freshworks,Game Engine Developer,"TensorFlow, NoSQL, Web3, CI/CD, AWS, Cybersecurity, GraphQL, Risk Analytics, Tableau"
Tiger Analytics,Revenue Operations Analyst,"Prototyping, Agile, SQL, Growth Hacking, CI/CD, Kubernetes, Python"
PwC India,Customer Experience Strategist,"Linux, Docker, Growth Hacking, SEO, System Design, UX Research"
CRED,Sustainability Analyst,"C++, Microservices, CI/CD, Web3, React, SEO"
Nykaa,Technical Product Owner,"CI/CD, Smart Contracts, Computer Vision, NLP, Git, TensorFlow, System Design, Financial Modeling, Figma, A/B Testing, SQL"
Groww,Embedded AI Engineer,"Agile, Selenium, Power BI, Rust, Web3, Shell Scripting"
Nykaa,IoT Solutions Architect,"Blockchain, Python, Agile, PyTorch, NLP, Kanban, Prototyping"
Cohere,Data Engineer,"Azure, Kubernetes, Growth Hacking, Prototyping, Java, Distributed Systems"
Freshworks,Revenue Operations Analyst,"Agile, CI/CD, Shell Scripting, Tableau, Blockchain, Node.js, Selenium, Computer Vision, Power BI, Figma, SEO"
Deutsche Bank,Supply Chain Data Scientist,"Tableau, Microservices, C++, A/B Testing, Prototyping, Data Visualization"
Glance,Technical Product Owner,"Prototyping, Linux, Blockchain, Terraform, Microservices, Scrum, Web3, Computer Vision"
Mindtree,AdTech Optimization Specialist,"Automation, SQL, Agile, Selenium, Distributed Systems, Rust, PyTorch, Blockchain, TensorFlow, Go"
Meesho,Autonomous Systems Engineer,"Prototyping, Risk Analytics, Cybersecurity, Scrum, CI/CD, AWS"
Ather Energy,Autonomous Systems Engineer,"Growth Hacking, SQL, Scikit-learn, Go, NoSQL, C++, Financial Modeling, Next.js"
Noise,IoT Solutions Architect,"Automation, Growth Hacking, Selenium, Encryption, Rust, Tableau, A/B Testing, System Design, Figma"
Mphasis,Marketing Data Scientist,"Microservices, Kubernetes, Financial Modeling, Growth Hacking, Azure, Power BI, AWS, Scrum, Rust, Tableau, GCP"
Netflix,FinTech Product Analyst,"GCP, Kubernetes, CI/CD, React, UX Research, Linux, NoSQL, System Design, SEO"
Tata Elxsi,Computer Vision Engineer,"Distributed Systems, GCP, Terraform, Java, Tableau, Kubernetes, Rust, Azure, Agile"
PolicyBazaar,Quantum Computing Researcher,"Smart Contracts, Rust, Figma, UX Research, Prototyping, PyTorch, Agile, Cybersecurity, Shell Scripting, AWS, Kubernetes"
Ola Electric,MLOps Engineer,"Java, Terraform, A/B Testing, TensorFlow, Python, Data Visualization, Go, GCP, Financial Modeling, Selenium"
Deloitte India,Cloud Security Engineer,"Agile, Data Visualization, UX Research, Git, Zero Trust, Smart Contracts, Selenium, NLP"
Red Hat,Embedded AI Engineer,"Web3, SQL, CI/CD, System Design, Terraform, Linux, Distributed Systems, Growth Hacking"
Zoho,Revenue Operations Analyst,"Testing, Terraform, Azure, Docker, React, Cybersecurity, Shell Scripting, Prototyping, NLP, Power BI, Scrum"
Zoho,Supply Chain Data Scientist,"Distributed Systems, Next.js, PyTorch, GCP, Python, Terraform, C++, Data Visualization"
Netflix,Prompt Engineer,"Scikit-learn, Cybersecurity, Zero Trust, SQL, Rust, Next.js, Scrum"
Noise,Search Relevance Engineer,"GCP, Microservices, Automation, Node.js, Testing, PyTorch"
DigitalOcean,Backend Engineer,"Rust, Zero Trust, NoSQL, Figma, Microservices, Go, TensorFlow, Prototyping, Docker"
Glance,Sustainability Analyst,"Computer Vision, GCP, Zero Trust, Data Visualization, Selenium, Shell Scripting, Kanban, C++, Encryption, Kubernetes, Distributed Systems"
DeepMind,Revenue Operations Analyst,"Java, Scikit-learn, Computer Vision, CI/CD, Cybersecurity, Selenium, Testing, NLP, Azure, Docker, SQL, Automation"
Tiger Analytics,Autonomous Systems Engineer,"NoSQL, Next.js, Zero Trust, Tableau, Selenium, Growth Hacking, Agile, Scrum, Azure, React, Linux"
Mindtree,Frontend Engineer,"Azure, Kubernetes, Docker, Distributed Systems, Smart Contracts, GCP, C++, System Design, Computer Vision, Figma, Power BI, Next.js"
Vedantu,Sustainability Analyst,"GraphQL, SEO, Scikit-learn, Azure, Automation, Blockchain, UX Research, PyTorch"
Pinterest,AdTech Optimization Specialist,"Figma, Java, Node.js, Kubernetes, Rust, GCP, Data Visualization, Zero Trust, Smart Contracts, Git"
Deloitte India,AdTech Optimization Specialist,"Smart Contracts, Scrum, PyTorch, NoSQL, SEO, Risk Analytics, Blockchain, Distributed Systems, Cybersecurity, TensorFlow, React"
Postman,Embedded AI Engineer,"TensorFlow, UX Research, Git, C++, Azure, Python, AWS, Kubernetes, Scrum"
Noise,Release Engineer,"Blockchain, Selenium, Risk Analytics, Go, Azure, Shell Scripting, SQL, Terraform, A/B Testing, UX Research, Growth Hacking"
Meesho,Sustainability Analyst,"System Design, Linux, Zero Trust, Java, Web3, Selenium"
Tata Elxsi,HR Tech Analyst,"Next.js, Encryption, Rust, SQL, Scrum, Zero Trust, Agile, Computer Vision, CI/CD, Prototyping"
DeepMind,HR Tech Analyst,"Rust, Web3, Azure, Shell Scripting, Blockchain, Selenium, Tableau, Smart Contracts, Figma, PyTorch"
Nomura,Site Reliability Engineer,"Risk Analytics, Automation, Smart Contracts, CI/CD, PyTorch, React, Linux, Java, Agile, Cybersecurity, Growth Hacking, TensorFlow"
Unacademy,Product Growth Manager,"Encryption, Data Visualization, Linux, GCP, Blockchain, Python, A/B Testing, Testing, Selenium, Scikit-learn"
Meesho,Release Engineer,"Figma, Azure, Microservices, System Design, CI/CD, Shell Scripting"
Deloitte India,Build Engineer,"Web3, Go, TensorFlow, SQL, Terraform, C++, UX Research, Scrum, Distributed Systems, Rust, System Design"
Boat Lifestyle,Speech Recognition Engineer,"Power BI, Go, Shell Scripting, Selenium, Web3, Node.js, Agile"
Noise,Product Growth Manager,"Azure, Docker, NoSQL, Computer Vision, Smart Contracts, UX Research, Zero Trust"
PolicyBazaar,Marketing Data Scientist,"TensorFlow, Next.js, SQL, GCP, Zero Trust, Rust, Tableau, GraphQL, Microservices, Figma, Distributed Systems, C++"
L&T Technology Services,Technical Product Owner,"Cybersecurity, Risk Analytics, Git, Distributed Systems, Java, Figma, Docker"
Vedantu,Sustainability Analyst,"Shell Scripting, Selenium, Encryption, Data Visualization, A/B Testing, GraphQL"
Red Hat,Platform Engineer,"C++, Data Visualization, TensorFlow, A/B Testing, Smart Contracts, Risk Analytics, Growth Hacking"
PwC India,People Analytics Manager,"Figma, GraphQL, Cybersecurity, Agile, C++, Automation"
Canonical,Robotics Software Engineer,"System Design, Shell Scripting, TensorFlow, Kanban, Linux, Automation"
Canonical,Cloud Security Engineer,"Scikit-learn, Encryption, Financial Modeling, TensorFlow, PyTorch, Go, Tableau, Data Visualization, Next.js, Selenium, Computer Vision, Git"
Anthropic,Game Engine Developer,"Shell Scripting, Tableau, Linux, Distributed Systems, Kanban, Figma, Risk Analytics, Cybersecurity, Web3, A/B Testing"
Boat Lifestyle,Platform Engineer,"Smart Contracts, Blockchain, NoSQL, Computer Vision, GraphQL, React, Distributed Systems, C++, Scikit-learn, A/B Testing, SEO"
CRED,Robotics Software Engineer,"Growth Hacking, Smart Contracts, Next.js, Encryption, AWS, React, Computer Vision, Agile, CI/CD, Risk Analytics"
Pinterest,Digital Twin Engineer,"Linux, GraphQL, Rust, CI/CD, Kubernetes, Power BI, Distributed Systems, Scikit-learn, Risk Analytics, Blockchain, Microservices, Figma"
Slack,Data Engineer,"Prototyping, Computer Vision, Zero Trust, Selenium, Figma, Data Visualization"
PwC India,People Analytics Manager,"Computer Vision, A/B Testing, NoSQL, C++, GCP, Power BI, GraphQL, Node.js"
Zoho,Data Engineer,"Rust, NoSQL, NLP, Git, Encryption, Next.js, Shell Scripting, Growth Hacking, Kubernetes"
PhonePe,Game Engine Developer,"Growth Hacking, Distributed Systems, Selenium, Kanban, Next.js, Computer Vision, Terraform, Data Visualization, CI/CD, Blockchain, Node.js"
CRED,AR/VR Experience Designer,"Docker, Microservices, Kubernetes, Figma, Encryption, UX Research, Zero Trust, Shell Scripting"
L&T Technology Services,People Analytics Manager,"Go, PyTorch, Risk Analytics, Automation, Zero Trust, Terraform, Prototyping, Docker, React, Kubernetes, AWS, Agile"
Canonical,Search Relevance Engineer,"React, C++, Risk Analytics, Node.js, Growth Hacking, Figma, Web3"
Noise,Technical Product Owner,"Encryption, Kubernetes, Distributed Systems, Docker, Growth Hacking, Web3, C++, UX Research"
PolicyBazaar,Knowledge Graph Engineer,"Scikit-learn, Testing, Tableau, C++, System Design, Shell Scripting, Power BI, React, Smart Contracts"
UBS,Knowledge Graph Engineer,"C++, UX Research, Smart Contracts, Figma, Computer Vision, Node.js, Scrum, Cybersecurity"
Dropbox,Build Engineer,"Scrum, Selenium, Zero Trust, Automation, Risk Analytics, NLP, System Design"
Cloudflare,FinTech Product Analyst,"Growth Hacking, Java, System Design, Terraform, React, Azure, Cybersecurity, Go, TensorFlow, Financial Modeling, Testing, Computer Vision"
L&T Technology Services,Crypto Research Analyst,"Growth Hacking, Web3, Cybersecurity, Kubernetes, Scikit-learn, GCP, Encryption, Computer Vision, Python, Financial Modeling, Next.js"
Infosys Finacle,AI Ethics Researcher,"NLP, Kubernetes, Distributed Systems, NoSQL, Financial Modeling, Terraform, UX Research, C++"
InMobi,Knowledge Graph Engineer,"SQL, AWS, TensorFlow, Docker, Terraform, Git, GraphQL, Scikit-learn"
InMobi,Build Engineer,"PyTorch, Encryption, Kanban, GCP, Go, GraphQL, Scikit-learn, Financial Modeling"
Nykaa,IoT Solutions Architect,"C++, System Design, UX Research, Web3, CI/CD, Shell Scripting, Distributed Systems, GCP, Financial Modeling, Data Visualization, Growth Hacking"
Dropbox,AdTech Optimization Specialist,"Risk Analytics, Docker, GraphQL, C++, Rust, Scrum, Encryption, React, SQL, Shell Scripting, Kubernetes, Linux"
Fractal Analytics,Speech Recognition Engineer,"Linux, Prototyping, Docker, Distributed Systems, Scrum, Scikit-learn, Agile"
Meesho,Prompt Engineer,"Computer Vision, Blockchain, Next.js, PyTorch, NLP, Shell Scripting, A/B Testing, Scrum, Power BI"
Pinterest,AR/VR Experience Designer,"Web3, Risk Analytics, System Design, CI/CD, Blockchain, Power BI, Kubernetes, NoSQL, Terraform"
Postman,Computer Vision Engineer,"Figma, Prototyping, Next.js, Java, Scikit-learn, Cybersecurity, Linux, Kubernetes, Power BI"
OpenAI,AdTech Optimization Specialist,"Kanban, Agile, NLP, Figma, Git, Cybersecurity, Linux, Rust, C++, UX Research, Scrum"
Groww,Crypto Research Analyst,"Prototyping, Testing, Tableau, Encryption, NLP, Blockchain, SEO"
Hugging Face,Revenue Operations Analyst,"Next.js, Automation, Data Visualization, React, GraphQL, Tableau, Risk Analytics"
Tata Elxsi,Revenue Operations Analyst,"Risk Analytics, Docker, Go, AWS, Agile, SQL"
Mindtree,People Analytics Manager,"Cybersecurity, Kanban, Computer Vision, TensorFlow, Docker, Power BI, Risk Analytics, Linux, Git, C++, Smart Contracts"
InMobi,Site Reliability Engineer,"GCP, Distributed Systems, Python, CI/CD, Azure, A/B Testing"
Slack,Computer Vision Engineer,"React, Next.js, TensorFlow, NoSQL, Figma, Distributed Systems, Agile, Zero Trust, Cybersecurity, NLP, Node.js"
Dropbox,DevSecOps Engineer,"Shell Scripting, Encryption, Blockchain, Power BI, UX Research, Azure"
Vedantu,IoT Solutions Architect,"Zero Trust, Shell Scripting, Blockchain, Cybersecurity, NoSQL, Git, NLP"
Mu Sigma,Embedded AI Engineer,"C++, React, CI/CD, Scikit-learn, Blockchain, Kubernetes, System Design, Go, Agile"
Cohere,Frontend Engineer,"Node.js, Shell Scripting, A/B Testing, Go, Growth Hacking, NLP, Financial Modeling, Agile, NoSQL"
Slack,Computer Vision Engineer,"Cybersecurity, System Design, Agile, Computer Vision, Shell Scripting, NLP, Microservices, Smart Contracts"
Unacademy,Cloud Security Engineer,"Tableau, CI/CD, Shell Scripting, Financial Modeling, Zero Trust, SEO, Blockchain, Terraform, Java, TensorFlow"
UBS,Platform Engineer,"Rust, Selenium, UX Research, React, Computer Vision, Agile, Data Visualization, Growth Hacking, Cybersecurity, Kubernetes, GCP"
Hugging Face,Revenue Operations Analyst,"Growth Hacking, Distributed Systems, Computer Vision, Prototyping, Go, Kubernetes, Web3"
Unacademy,Site Reliability Engineer,"Rust, Automation, Kanban, Risk Analytics, Figma, Linux, NoSQL, Java"
Deutsche Bank,Sustainability Analyst,"Linux, Growth Hacking, Computer Vision, React, Web3, Kubernetes, Blockchain, CI/CD, Distributed Systems, Agile"
UBS,DevSecOps Engineer,"C++, Power BI, GCP, PyTorch, Testing, CI/CD, Zero Trust, Kubernetes, Risk Analytics"
PhonePe,Game Engine Developer,"Scrum, NoSQL, Git, Node.js, A/B Testing, Financial Modeling, Microservices, C++, Web3, Scikit-learn, TensorFlow"
Netflix,Knowledge Graph Engineer,"Tableau, System Design, Microservices, Next.js, GCP, Terraform, Blockchain, Docker"
L&T Technology Services,Release Engineer,"NoSQL, React, Prototyping, Testing, Selenium, Automation, Risk Analytics, Financial Modeling"
Canonical,Robotics Software Engineer,"Kubernetes, Scikit-learn, Git, Computer Vision, Testing, Node.js, Scrum"
Netflix,Computer Vision Engineer,"SEO, Smart Contracts, Java, Web3, CI/CD, Risk Analytics, Tableau, Distributed Systems"
UBS,AdTech Optimization Specialist,"Smart Contracts, AWS, Automation, C++, Growth Hacking, Rust, Selenium, Linux, Financial Modeling, Data Visualization, Node.js"
Netflix,FinTech Product Analyst,"Cybersecurity, Kubernetes, Rust, Computer Vision, Go, AWS, Next.js, GraphQL, Encryption, Git, Python, SEO"
Pinterest,Site Reliability Engineer,"Prototyping, Computer Vision, Kanban, Web3, Cybersecurity, Next.js, A/B Testing, Figma, Terraform"
Cohere,Crypto Research Analyst,"UX Research, Cybersecurity, C++, Financial Modeling, Linux, Azure, Automation, Growth Hacking, AWS, Rust, NoSQL, Scikit-learn"
ShareChat,Speech Recognition Engineer,"CI/CD, Distributed Systems, System Design, AWS, Cybersecurity, UX Research, PyTorch, Linux, Testing, GCP, Scikit-learn"
Mphasis,Release Engineer,"Docker, Encryption, Distributed Systems, Kubernetes, Prototyping, Node.js, Testing, Growth Hacking, System Design, GraphQL"
KPMG India,Marketing Data Scientist,"SEO, CI/CD, Blockchain, AWS, Scrum, Zero Trust, A/B Testing, Rust, Computer Vision"
Freshworks,Revenue Operations Analyst,"Encryption, Power BI, Shell Scripting, Go, Selenium, TensorFlow, Risk Analytics, Tableau"
Credit Suisse,Prompt Engineer,"Rust, Encryption, NLP, Tableau, TensorFlow, Node.js, Zero Trust"
Tiger Analytics,Game Engine Developer,"Kubernetes, Zero Trust, Linux, TensorFlow, Tableau, UX Research, Docker, Agile, Risk Analytics, Go, GCP, CI/CD"
OpenAI,DevSecOps Engineer,"Power BI, GraphQL, Go, AWS, Python, GCP, React, Rust"
Mindtree,Prompt Engineer,"Risk Analytics, PyTorch, System Design, NoSQL, Smart Contracts, Tableau, Azure, React, Distributed Systems, Rust, Kubernetes"
Tiger Analytics,Cloud Security Engineer,"SQL, Automation, GraphQL, Prototyping, Java, PyTorch, Git, Linux"
Ather Energy,People Analytics Manager,"Figma, Terraform, SQL, C++, Zero Trust, AWS, Microservices, Tableau, System Design, Java, Rust, GraphQL"
Hugging Face,Autonomous Systems Engineer,"Prototyping, Cybersecurity, Zero Trust, Figma, Microservices, Azure, CI/CD, Blockchain, Power BI, Automation"
Boat Lifestyle,HR Tech Analyst,"Azure, NoSQL, Microservices, Go, NLP, Financial Modeling, Scikit-learn, SQL, Kubernetes"
PwC India,Quantum Computing Researcher,"Scikit-learn, Risk Analytics, Computer Vision, Kanban, Node.js, TensorFlow, React"
Hugging Face,Robotics Software Engineer,"Computer Vision, Scikit-learn, Docker, GraphQL, Kubernetes, Figma, Azure, Python, System Design, Prototyping, Web3"
Chargebee,Computer Vision Engineer,"Zero Trust, Financial Modeling, GraphQL, Growth Hacking, Microservices, React"
Nomura,Game Engine Developer,"Figma, Rust, Terraform, Selenium, Data Visualization, CI/CD, Linux, UX Research, Testing, System Design, Power BI, Kanban"
Anthropic,FinTech Product Analyst,"Power BI, AWS, Distributed Systems, Kubernetes, Blockchain, TensorFlow, Node.js, CI/CD, SEO"
Netflix,Prompt Engineer,"Smart Contracts, NoSQL, Microservices, UX Research, A/B Testing, Automation, Risk Analytics, Cybersecurity, Tableau, Scikit-learn"
Tiger Analytics,Full Stack Engineer,"Distributed Systems, React, Testing, Go, CI/CD, AWS, Financial Modeling, Docker, System Design, Node.js, Scrum, Kubernetes"
Dropbox,MLOps Engineer,"SEO, NLP, Prototyping, C++, Python, Distributed Systems, Web3, Kanban, Encryption, Risk Analytics"
Tata Elxsi,Quantum Computing Researcher,"React, GCP, Prototyping, Risk Analytics, Azure, Docker, Blockchain, Linux, CI/CD, Financial Modeling, Automation, Power BI"
Glance,MLOps Engineer,"Distributed Systems, Testing, Smart Contracts, Kanban, Computer Vision, CI/CD, Selenium, Financial Modeling, Tableau"
Tata Elxsi,Quantum Computing Researcher,"Kubernetes, React, Shell Scripting, Selenium, TensorFlow, Agile, Microservices, C++, Scikit-learn, Kanban, Azure, Cybersecurity"
Fractal Analytics,Digital Twin Engineer,"Microservices, Kanban, Computer Vision, Python, Data Visualization, Growth Hacking, System Design, Figma, Distributed Systems, GCP, Azure"
Red Hat,AdTech Optimization Specialist,"Kanban, CI/CD, TensorFlow, React, Data Visualization, Microservices, Growth Hacking, Rust"
Fastly,MLOps Engineer,"Power BI, TensorFlow, A/B Testing, Agile, Selenium, Shell Scripting, Go, UX Research"
Hugging Face,Crypto Research Analyst,"Smart Contracts, Microservices, GraphQL, Rust, Next.js, UX Research, Encryption, Linux, Python, Git"
L&T Technology Services,Full Stack Engineer,"SQL, UX Research, Computer Vision, Agile, Git, GraphQL, C++, Tableau, Smart Contracts, Rust, GCP, Prototyping"
Mphasis,AI Ethics Researcher,"Scrum, Kanban, Terraform, Kubernetes, React, AWS, NoSQL, Web3"
Mindtree,People Analytics Manager,"Data Visualization, SEO, Docker, Smart Contracts, Microservices, Automation"
Netflix,Prompt Engineer,"GCP, Smart Contracts, Node.js, A/B Testing, Distributed Systems, NoSQL, TensorFlow, Selenium, Scrum, Zero Trust, Azure"
Hugging Face,Release Engineer,"Blockchain, Selenium, Kubernetes, React, Shell Scripting, SQL, Power BI, Terraform, Linux"
DeepMind,Cloud Security Engineer,"Power BI, Web3, Tableau, NoSQL, SEO, Microservices, CI/CD"
Zoho,Digital Twin Engineer,"Kanban, NoSQL, Tableau, GCP, Automation, A/B Testing, C++, TensorFlow, Scikit-learn, Blockchain, Risk Analytics"
PhonePe,Product Growth Manager,"System Design, NLP, React, Data Visualization, Financial Modeling, Python, Agile"
Unacademy,People Analytics Manager,"GCP, Kubernetes, React, Docker, NoSQL, Java, Tableau, A/B Testing, Computer Vision, UX Research, Go"
Ola Electric,Frontend Engineer,"Python, CI/CD, Computer Vision, Agile, Node.js, Tableau, Git, GraphQL, AWS, React, Linux"
InMobi,Frontend Engineer,"Financial Modeling, Cybersecurity, Azure, Prototyping, Scrum, NLP, Shell Scripting, Rust"
Vedantu,Supply Chain Data Scientist,"Web3, Go, Terraform, Testing, GraphQL, Node.js, Git, TensorFlow"
Canonical,Digital Twin Engineer,"TensorFlow, Encryption, Zero Trust, Terraform, Python, C++, UX Research, GCP"
Slack,HR Tech Analyst,"Testing, A/B Testing, Node.js, GraphQL, Smart Contracts, Prototyping, Blockchain, Selenium, Power BI"
Glance,Data Engineer,"GraphQL, SEO, CI/CD, Cybersecurity, Scrum, TensorFlow, Blockchain, Data Visualization, PyTorch, Zero Trust, React"
Ather Energy,Quantum Computing Researcher,"Web3, Risk Analytics, SQL, Selenium, System Design, Financial Modeling, TensorFlow, Figma, Zero Trust, Go"
KPMG India,Prompt Engineer,"Kanban, Scrum, Go, UX Research, Python, C++, Agile, AWS, Growth Hacking, Risk Analytics, Financial Modeling"
EY India,Knowledge Graph Engineer,"Scrum, Growth Hacking, NoSQL, GCP, Risk Analytics, React"
Hugging Face,DevSecOps Engineer,"AWS, SEO, Python, Prototyping, Kubernetes, Rust, Smart Contracts"
DigitalOcean,Full Stack Engineer,"SQL, Agile, Linux, Kubernetes, Smart Contracts, Microservices, Web3, Terraform, Figma, Scikit-learn"
Mphasis,AI Ethics Researcher,"Scrum, System Design, Selenium, PyTorch, TensorFlow, SQL, Power BI"
CRED,AI Ethics Researcher,"Scrum, Java, Shell Scripting, Linux, Python, PyTorch"
Nomura,Site Reliability Engineer,"Web3, Data Visualization, PyTorch, React, Zero Trust, NLP, Rust, Cybersecurity, SQL"
Noise,Cloud Security Engineer,"Microservices, GCP, Figma, Shell Scripting, React, UX Research, Automation, Kanban, Web3, Scikit-learn"
Mu Sigma,Build Engineer,"C++, Kanban, Figma, Scrum, Azure, Linux, GraphQL, Zero Trust, Distributed Systems, A/B Testing"
DeepMind,Marketing Data Scientist,"Blockchain, React, Testing, Agile, Financial Modeling, Next.js, C++, Prototyping"
BrowserStack,AdTech Optimization Specialist,"SQL, Linux, Node.js, Computer Vision, Go, Scrum"
Dropbox,Sustainability Analyst,"GraphQL, Financial Modeling, Blockchain, Smart Contracts, Risk Analytics, Microservices, Azure, Git, AWS"
PolicyBazaar,Cloud Security Engineer,"Node.js, Kanban, Computer Vision, C++, Web3, Kubernetes, UX Research, SEO"
L&T Technology Services,MLOps Engineer,"Next.js, Web3, Testing, System Design, Microservices, Agile, Docker, SEO"
DigitalOcean,Mobile App Engineer,"Python, Distributed Systems, Financial Modeling, C++, Selenium, Microservices, Terraform, Testing, Web3"
Zoho,Technical Product Owner,"Financial Modeling, GraphQL, UX Research, TensorFlow, Docker, Rust"
Mu Sigma,IoT Solutions Architect,"Distributed Systems, Scrum, Blockchain, Microservices, PyTorch, System Design, C++, Financial Modeling, Java"
Pinterest,Robotics Software Engineer,"Kubernetes, GraphQL, System Design, Selenium, Shell Scripting, Java, Growth Hacking, Automation, AWS"
Dropbox,Computer Vision Engineer,"Tableau, Rust, Web3, Financial Modeling, PyTorch, Microservices, Prototyping, Shell Scripting, Automation, Python"
Postman,Mobile App Engineer,"SEO, Terraform, Zero Trust, PyTorch, SQL, CI/CD, Azure, Docker, Git, Selenium, Rust, Financial Modeling"
CRED,Build Engineer,"Zero Trust, Growth Hacking, C++, PyTorch, Cybersecurity, NoSQL, Smart Contracts"
UBS,Quantum Computing Researcher,"Linux, TensorFlow, Shell Scripting, SEO, PyTorch, System Design"
Postman,Prompt Engineer,"Zero Trust, Testing, C++, TensorFlow, Kubernetes, Smart Contracts"
Cloudflare,Platform Engineer,"Go, Distributed Systems, C++, Financial Modeling, System Design, Computer Vision, Docker, Node.js, React, Python, SEO, AWS"
L&T Technology Services,Build Engineer,"GCP, Financial Modeling, UX Research, System Design, AWS, Growth Hacking"
Dropbox,Release Engineer,"Distributed Systems, UX Research, Growth Hacking, Agile, Shell Scripting, Terraform, Python, Selenium, CI/CD, Scrum, Tableau, Figma"
Chargebee,DevSecOps Engineer,"Rust, Zero Trust, Automation, Encryption, Shell Scripting, Web3, Python, CI/CD"
BYJU'S,Full Stack Engineer,"Figma, Selenium, Tableau, System Design, Data Visualization, Python, Kubernetes, GCP, Power BI, Cybersecurity"
Tiger Analytics,Embedded AI Engineer,"Computer Vision, Shell Scripting, Microservices, Rust, Automation, UX Research, Data Visualization, Growth Hacking, Kubernetes, TensorFlow, Testing, C++"
Credit Suisse,Customer Experience Strategist,"Git, SQL, Testing, Data Visualization, A/B Testing, Microservices, Risk Analytics"
Meesho,Quantum Computing Researcher,"NLP, NoSQL, GraphQL, Microservices, Scikit-learn, Risk Analytics, Go, Python, React"
Credit Suisse,Mobile App Engineer,"Data Visualization, Azure, Python, Linux, Testing, Encryption, Distributed Systems"
Zoho,Prompt Engineer,"Kubernetes, Terraform, NoSQL, Power BI, GraphQL, Computer Vision, Rust, Automation, Scrum"
Nomura,Bioinformatics Scientist,"SQL, Web3, Growth Hacking, Terraform, Risk Analytics, System Design, Tableau, Computer Vision, Figma, A/B Testing, Java"
Meesho,Marketing Data Scientist,"Shell Scripting, C++, GraphQL, Financial Modeling, Go, Prototyping, NoSQL, Computer Vision, Next.js"
PwC India,Release Engineer,"Terraform, Smart Contracts, GraphQL, Encryption, Selenium, Zero Trust, Docker, Node.js"
Tata Elxsi,Technical Product Owner,"C++, Zero Trust, Testing, Computer Vision, Risk Analytics, Blockchain, Financial Modeling, Scrum, GraphQL"
Mu Sigma,Platform Engineer,"System Design, Data Visualization, Scikit-learn, GCP, Blockchain, Rust, Terraform, Risk Analytics"
OpenAI,Full Stack Engineer,"Figma, Kanban, Selenium, Next.js, Azure, Distributed Systems, Node.js, Python, Financial Modeling, Prototyping, AWS"
Anthropic,Autonomous Systems Engineer,"Encryption, TensorFlow, React, Smart Contracts, Python, Web3"
UBS,Prompt Engineer,"Kanban, NLP, Java, SQL, Figma, CI/CD, Scikit-learn, Docker"
InMobi,AI Ethics Researcher,"Go, Azure, Rust, Linux, Automation, Figma, CI/CD"
Freshworks,Quantum Computing Researcher,"C++, Figma, Shell Scripting, Docker, Kanban, Rust, Smart Contracts"
Ola Electric,Crypto Research Analyst,"Docker, Shell Scripting, Linux, SQL, Web3, UX Research"
PolicyBazaar,Bioinformatics Scientist,"Go, System Design, Azure, Testing, Next.js, Shell Scripting, Web3, Python, A/B Testing, Rust"
Netflix,Frontend Engineer,"Tableau, Computer Vision, Figma, C++, Cybersecurity, Kanban, Encryption, Power BI, Scikit-learn, Data Visualization"
PwC India,FinTech Product Analyst,"Blockchain, NoSQL, Figma, Scrum, Growth Hacking, Azure, Java, Scikit-learn, Git, Python, Terraform, PyTorch"
PwC India,Marketing Data Scientist,"CI/CD, Terraform, Automation, NoSQL, Testing, Tableau, UX Research, Kanban, Microservices, Node.js, NLP, Kubernetes"
OpenAI,Marketing Data Scientist,"C++, Rust, TensorFlow, Node.js, Java, GraphQL, GCP, Go"
Deutsche Bank,Search Relevance Engineer,"TensorFlow, Power BI, Scrum, Figma, NoSQL, System Design"
DeepMind,Frontend Engineer,"Microservices, Computer Vision, Automation, Power BI, AWS, NoSQL, Selenium"
CRED,MLOps Engineer,"Zero Trust, AWS, Kubernetes, Scikit-learn, UX Research, GraphQL, Prototyping, React, PyTorch, Figma"
L&T Technology Services,Game Engine Developer,"React, AWS, Docker, Git, GCP, A/B Testing, Agile, Rust, Go"
Mindtree,Supply Chain Data Scientist,"Selenium, Data Visualization, AWS, Prototyping, Power BI, Docker, Scikit-learn, Git, UX Research, Zero Trust, NLP, Shell Scripting"
BrowserStack,Digital Twin Engineer,"Kubernetes, SQL, SEO, C++, Python, Agile, System Design, Tableau, Rust, Selenium"
BrowserStack,Data Engineer,"Shell Scripting, Financial Modeling, Power BI, PyTorch, Figma, CI/CD, NLP, Tableau, Java"
L&T Technology Services,Supply Chain Data Scientist,"Computer Vision, Go, TensorFlow, Next.js, GCP, Shell Scripting"
Boat Lifestyle,Release Engineer,"SQL, TensorFlow, GraphQL, Risk Analytics, Kubernetes, Kanban, Tableau, Shell Scripting, Smart Contracts, Scikit-learn, Computer Vision, CI/CD"
